section,sweep_param,sweep_value,sweep_label,param_B,value_B,signed_bias,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
CROSS,cmro2_true,1.0,1.00,cmro2_std,0.1,-0.08310061659499968,0.08310061659499968,,,0.07486249690093014,,,2.245302303356728,,
CROSS,cmro2_true,1.0,1.00,cmro2_std,0.325,-0.22713429543998664,0.22713429543998664,,,0.08201509035047332,,,2.759884002499915,,
CROSS,cmro2_true,1.0,1.00,cmro2_std,0.55,-0.0377874840809902,0.0377874840809902,,,0.10355645968916172,,,2.0407137485236135,,
CROSS,cmro2_true,1.0,1.00,cmro2_std,0.775,-0.07258994097857951,0.07258994097857951,,,0.12540682064050096,,,2.4287197382649386,,
CROSS,cmro2_true,1.0,1.00,cmro2_std,1.0,-0.13795032952857422,0.13795032952857422,,,0.11390954456719982,,,3.036300054441096,,
CROSS,cmro2_true,1.5,1.50,obs_std,1.0,-0.25407067485395674,0.25407067485395674,,,0.07555009846571466,,,3.8359301188511528,,
CROSS,cmro2_true,1.5,1.50,obs_std,3.25,-0.10903571569809323,0.10903571569809323,,,0.13734438661804382,,,3.248395047482205,,
CROSS,cmro2_true,1.5,1.50,obs_std,5.5,-0.07768387161062362,0.07768387161062362,,,0.147828643106558,,,3.164593137460867,,
CROSS,cmro2_true,1.5,1.50,obs_std,7.75,-0.12722349980247194,0.12722349980247194,,,0.17018668253046737,,,3.354440342750847,,
CROSS,cmro2_true,1.5,1.50,obs_std,10.0,-0.10733192915165479,0.10733192915165479,,,0.15899237824786971,,,3.3913379382530735,,
CROSS,cmro2_true,1.5,1.50,cmro2_std,0.1,-0.19077803119507686,0.19077803119507686,,,0.09611148506130458,,,3.5620550651354943,,
CROSS,cmro2_true,1.5,1.50,cmro2_std,0.325,-0.13116953025756906,0.13116953025756906,,,0.11262227139589222,,,3.253062307207565,,
CROSS,cmro2_true,1.5,1.50,cmro2_std,0.55,-0.16857761588602638,0.16857761588602638,,,0.10662564800984108,,,3.387576429005238,,
CROSS,cmro2_true,1.5,1.50,cmro2_std,0.775,-0.2006558066075912,0.2006558066075912,,,0.11623067781081343,,,3.952140661363649,,
CROSS,cmro2_true,1.5,1.50,cmro2_std,1.0,-0.2213751335264369,0.2213751335264369,,,0.10450215671386955,,,4.001599687666767,,
CROSS,cmro2_true,2.0,2.00,obs_std,1.0,-0.3731873663787235,0.3731873663787235,,,0.08303776347906451,,,4.8365866104164175,,
CROSS,cmro2_true,2.0,2.00,obs_std,3.25,-0.19015463952642353,0.19015463952642353,,,0.14562232664781055,,,4.169335171181791,,
CROSS,cmro2_true,2.0,2.00,obs_std,5.5,-0.1924140987791989,0.1924140987791989,,,0.1764068570038124,,,4.394794580216516,,
CROSS,cmro2_true,2.0,2.00,obs_std,7.75,-0.1777336718397371,0.1777336718397371,,,0.1831159540173576,,,4.64366389900245,,
CROSS,cmro2_true,2.0,2.00,obs_std,10.0,-0.10284891051592338,0.10284891051592338,,,0.18890106864766879,,,4.089128730051596,,
CROSS,cmro2_true,2.0,2.00,cmro2_std,0.1,-0.2780245228677116,0.2780245228677116,,,0.09048515485256124,,,4.372142415482459,,
CROSS,cmro2_true,2.0,2.00,cmro2_std,0.325,-0.21165250997195395,0.21165250997195395,,,0.11425313887379099,,,4.403117308828311,,
CROSS,cmro2_true,2.0,2.00,cmro2_std,0.55,-0.21532439300357886,0.21532439300357886,,,0.1293923734355238,,,4.1377474970749315,,
CROSS,cmro2_true,2.0,2.00,cmro2_std,0.775,-0.33330448201407314,0.33330448201407314,,,0.1283835599917813,,,5.126855296638114,,
CROSS,cmro2_true,2.0,2.00,cmro2_std,1.0,-0.2207596908159668,0.2207596908159668,,,0.13067372960069304,,,4.438893661830331,,
