section,sweep_param,sweep_value,sweep_label,param_B,value_B,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
CROSS,cmro2_true,1.5,1.50,obs_var,100.0,0.11897271608928461,,,0.17156772021110012,,,3.6067750304113804,,
CROSS,cmro2_true,1.5,1.50,obs_var,2500.0,0.19273200286149383,,,0.4561714717957641,,,2.858793953202654,,
CROSS,cmro2_true,1.5,1.50,obs_var,10000.0,0.24010596846954857,,,0.5810644761315025,,,2.36904120386946,,
CROSS,cmro2_true,2.0,2.00,obs_var,1.0,0.40924583314959495,,,0.06550229387670332,,,4.673321023036594,,
CROSS,cmro2_true,2.0,2.00,obs_var,25.0,0.24271518763533884,,,0.1907136122155692,,,4.894080979879199,,
CROSS,cmro2_true,2.0,2.00,obs_var,100.0,0.14295373959651236,,,0.24891271349135227,,,4.14629510852634,,
CROSS,cmro2_true,2.0,2.00,obs_var,2500.0,0.00023035905782009536,,,0.4235185955768024,,,4.956583616783351,,
CROSS,cmro2_true,2.0,2.00,obs_var,10000.0,0.2986279806277534,,,0.6312333297768615,,,5.302300274020845,,
CROSS,cmro2_true,2.5,2.50,obs_var,1.0,0.5838082446346102,,,0.0838703232331994,,,5.783824072896514,,
CROSS,cmro2_true,2.5,2.50,obs_var,25.0,0.365022014874818,,,0.21341558857886744,,,5.902633848875033,,
CROSS,cmro2_true,2.5,2.50,obs_var,100.0,0.08114042729084447,,,0.18336041948176138,,,4.661260409730508,,
CROSS,cmro2_true,2.5,2.50,obs_var,2500.0,0.03454009501657396,,,0.49697992956433973,,,4.861806088919528,,
CROSS,cmro2_true,2.5,2.50,obs_var,10000.0,0.2332599233542889,,,0.5696316100092381,,,4.485905751991834,,
CROSS,cmro2_true,3.0,3.00,obs_var,1.0,0.5460241021539329,,,0.06670821840370304,,,6.823047466328021,,
CROSS,cmro2_true,3.0,3.00,obs_var,25.0,0.2943648451739316,,,0.21508822797556718,,,6.619044131573098,,
CROSS,cmro2_true,3.0,3.00,obs_var,100.0,0.21846319927999946,,,0.2430131083562905,,,6.551620969386679,,
CROSS,cmro2_true,3.0,3.00,obs_var,2500.0,0.039448214305252804,,,0.42514076792397026,,,6.725167640962042,,
CROSS,cmro2_true,3.0,3.00,obs_var,10000.0,0.7081971772521523,,,0.43687463011094546,,,4.039818204247792,,
CROSS,cmro2_true,1.0,1.00,cmro2_var,5e-08,1.0000368914943771,,,0.0003673858363672857,,,4.7860073363436415,,
CROSS,cmro2_true,1.0,1.00,cmro2_var,0.005,0.7294097274399309,,,0.11666425989501071,,,3.9158816115519617,,
CROSS,cmro2_true,1.0,1.00,cmro2_var,0.5,0.15889978549842532,,,0.26411784968892266,,,2.6425345177664754,,
CROSS,cmro2_true,1.0,1.00,cmro2_var,5.0,0.08637544643458672,,,0.2750644258080614,,,2.8650972579624967,,
CROSS,cmro2_true,1.5,1.50,cmro2_var,5e-08,0.5000088925461772,,,0.00027764141371617153,,,4.186658064706296,,
CROSS,cmro2_true,1.5,1.50,cmro2_var,0.005,0.38173592506114096,,,0.12671094051610593,,,4.1156678962079445,,
CROSS,cmro2_true,1.5,1.50,cmro2_var,0.5,0.04114941503314884,,,0.30109673955898747,,,2.9501778407585584,,
CROSS,cmro2_true,1.5,1.50,cmro2_var,5.0,0.02253556641991361,,,0.2769723485575984,,,2.6791468219021284,,
CROSS,cmro2_true,2.0,2.00,cmro2_var,5e-08,0.00012912643934881451,,,0.0005501741831848518,,,4.14513052651257,,
CROSS,cmro2_true,2.0,2.00,cmro2_var,0.005,0.007443670367441646,,,0.1220029231861928,,,3.7544481732817214,,
CROSS,cmro2_true,2.0,2.00,cmro2_var,0.5,0.11147977854992774,,,0.25743272134746953,,,4.771269756372601,,
CROSS,cmro2_true,2.0,2.00,cmro2_var,5.0,0.09846245214062987,,,0.2899299013904009,,,3.541678465534485,,
CROSS,cmro2_true,2.5,2.50,cmro2_var,5e-08,0.5000313213068397,,,0.00042700298677631935,,,4.655803532057123,,
CROSS,cmro2_true,2.5,2.50,cmro2_var,0.005,0.37104059025245917,,,0.11173223761325465,,,4.896769178734718,,
CROSS,cmro2_true,2.5,2.50,cmro2_var,0.5,0.28887659203882077,,,0.32512565009500993,,,5.801644595253531,,
CROSS,cmro2_true,2.5,2.50,cmro2_var,5.0,0.20806086181688244,,,0.4093943509392518,,,5.72318545609147,,
CROSS,cmro2_true,3.0,3.00,cmro2_var,5e-08,1.000157331985892,,,0.00042543814830706806,,,4.1948489396660555,,
CROSS,cmro2_true,3.0,3.00,cmro2_var,0.005,0.7167869805404345,,,0.11558335203090961,,,5.009454096967495,,
CROSS,cmro2_true,3.0,3.00,cmro2_var,0.5,0.16338415490993263,,,0.2929359842640416,,,6.327439640803029,,
CROSS,cmro2_true,3.0,3.00,cmro2_var,5.0,0.2745904728895767,,,0.5353921987387049,,,6.218005133908054,,
CROSS,R0_true,80.0,80,obs_var,1.0,1.0281889165508584,,,0.10782878609458399,,,2.9543023663713224,,
CROSS,R0_true,80.0,80,obs_var,100.0,0.098038468736795,,,0.395820345232308,,,2.9979088905403968,,
CROSS,R0_true,80.0,80,obs_var,2500.0,0.01741603371649214,,,0.6313387767319238,,,2.824119431502932,,
CROSS,R0_true,80.0,80,obs_var,10000.0,0.13102945750095785,,,0.5780142062267254,,,1.0156245171516454,,
CROSS,R0_true,100.0,100,obs_var,1.0,0.5322499282562108,,,0.0894217560003824,,,4.054532825940359,,
CROSS,R0_true,100.0,100,obs_var,100.0,0.07634785307442327,,,0.20364219377450585,,,4.724104826179836,,
CROSS,R0_true,100.0,100,obs_var,2500.0,0.16428025159873272,,,0.5203791749747015,,,5.118708301593813,,
CROSS,R0_true,100.0,100,obs_var,10000.0,0.3771634472643064,,,0.6479200489731625,,,5.175500235727823,,
CROSS,R0_true,120.0,120,obs_var,1.0,0.23018290829946686,,,0.04740896631309323,,,6.67056048300781,,
CROSS,R0_true,120.0,120,obs_var,100.0,0.09177191543690277,,,0.13231128086440141,,,6.502247230087092,,
CROSS,R0_true,120.0,120,obs_var,2500.0,0.12039533487475662,,,0.33984257991418737,,,6.4788454322345,,
CROSS,R0_true,120.0,120,obs_var,10000.0,0.03783755792303323,,,0.3480380588658799,,,6.10357659108978,,
CROSS,R0_true,130.0,130,obs_var,1.0,0.274395283678293,,,0.032926465807382184,,,8.676452459835584,,
CROSS,R0_true,130.0,130,obs_var,100.0,0.15348845245784837,,,0.11283397945313757,,,7.5383949887781805,,
CROSS,R0_true,130.0,130,obs_var,2500.0,0.028835663495396346,,,0.27160596617258115,,,6.5879300322915855,,
CROSS,R0_true,130.0,130,obs_var,10000.0,0.09427594452765553,,,0.2370094298453825,,,7.0932520255224745,,
CROSS,obs_var,1.0,1,cmro2_var,5e-08,0.0005436140574923698,,,0.0004053078374932503,,,4.256642934212089,,
CROSS,obs_var,1.0,1,cmro2_var,0.005,0.2530773181965249,,,0.05452410662405603,,,4.754965882506334,,
CROSS,obs_var,1.0,1,cmro2_var,0.5,0.3243886123547344,,,0.08432401582454876,,,4.666285728702285,,
CROSS,obs_var,1.0,1,cmro2_var,5.0,0.4933686116469609,,,0.06807180005844041,,,6.839617851941284,,
CROSS,obs_var,25.0,5,cmro2_var,5e-08,8.561301482346018e-05,,,0.0005815496962002384,,,4.047646771381299,,
CROSS,obs_var,25.0,5,cmro2_var,0.005,0.19269094021140587,,,0.10010971982175992,,,4.445175069064022,,
CROSS,obs_var,25.0,5,cmro2_var,0.5,0.1484588021221973,,,0.14424120304678087,,,4.224962192265037,,
CROSS,obs_var,25.0,5,cmro2_var,5.0,0.3560525387102058,,,0.1578289768209932,,,5.211309474718859,,
CROSS,obs_var,100.0,10,cmro2_var,5e-08,0.0001534666053273348,,,0.000453766629573178,,,3.990365465597421,,
CROSS,obs_var,100.0,10,cmro2_var,0.005,0.06970250130104771,,,0.1022228494974446,,,4.116561920271881,,
CROSS,obs_var,100.0,10,cmro2_var,0.5,0.14428692798281073,,,0.13066857101884596,,,4.062584347353997,,
CROSS,obs_var,100.0,10,cmro2_var,5.0,0.0013692508995379882,,,0.23190621635998693,,,2.9391863526834743,,
CROSS,obs_var,2500.0,50,cmro2_var,5e-08,2.421714646549944e-05,,,0.0004787718312342931,,,4.45491215199695,,
CROSS,obs_var,2500.0,50,cmro2_var,0.005,0.03911295836838291,,,0.14333489945686034,,,3.934614724921652,,
CROSS,obs_var,2500.0,50,cmro2_var,0.5,0.37883057479583737,,,0.44959978479681045,,,4.620999293182031,,
CROSS,obs_var,2500.0,50,cmro2_var,5.0,0.16338374575207726,,,0.46770483984429456,,,1.8731975324044468,,
CROSS,obs_var,10000.0,100,cmro2_var,5e-08,4.094644538232828e-05,,,0.00044620603912206127,,,3.6866643986042935,,
CROSS,obs_var,10000.0,100,cmro2_var,0.005,0.005135318768312747,,,0.1376646301523053,,,3.888243332388423,,
CROSS,obs_var,10000.0,100,cmro2_var,0.5,0.28666754394273664,,,0.9046630591556468,,,4.2990364258546085,,
CROSS,obs_var,10000.0,100,cmro2_var,5.0,0.11140490772136946,,,0.7874887746852116,,,2.980424057312184,,
