section,sweep_param,sweep_value,sweep_label,param_B,value_B,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
CROSS,cmro2_true,1.5,1.50,cmro2_var,0.5,0.00879531059912475,,,3.017778911187621,,,6.780884017785102,,
CROSS,cmro2_true,1.5,1.50,cmro2_var,5.0,2.519773191164758,,,9.280209430392782,,,45.579307653233926,,
CROSS,cmro2_true,2.0,2.00,cmro2_var,5e-08,4.261485211598526e-06,,,0.000989637972775838,,,0.8256185177527388,,
CROSS,cmro2_true,2.0,2.00,cmro2_var,0.005,0.012583836223889922,,,0.2831657210123104,,,5.305940166689165,,
CROSS,cmro2_true,2.0,2.00,cmro2_var,0.5,0.12764371349329018,,,2.8114360544259367,,,6.238532636015313,,
CROSS,cmro2_true,2.0,2.00,cmro2_var,5.0,0.49394931897702987,,,9.309229531853266,,,11.282804811008946,,
CROSS,cmro2_true,2.5,2.50,cmro2_var,5e-08,0.4999516546573579,,,0.0009822776700340132,,,9.977377085441306,,
CROSS,cmro2_true,2.5,2.50,cmro2_var,0.005,0.45143727918878174,,,0.3202946538836847,,,10.686550522975821,,
CROSS,cmro2_true,2.5,2.50,cmro2_var,0.5,1.291394512809318,,,3.148402974182931,,,21.658520857349913,,
CROSS,cmro2_true,2.5,2.50,cmro2_var,5.0,0.5505489494686111,,,9.122706327441295,,,15.97051934768622,,
CROSS,cmro2_true,3.0,3.00,cmro2_var,5e-08,1.0001921554131836,,,0.0009862930718791787,,,27.320872681038665,,
CROSS,cmro2_true,3.0,3.00,cmro2_var,0.005,0.9842885880199548,,,0.27728197995208975,,,4.666949517769605,,
CROSS,cmro2_true,3.0,3.00,cmro2_var,0.5,0.741902890668154,,,2.660214355170779,,,15.946385754456013,,
CROSS,cmro2_true,3.0,3.00,cmro2_var,5.0,1.660181177819445,,,8.008594232544722,,,27.733072455036663,,
CROSS,R0_true,80.0,80,obs_var,1.0,0.6375083383030284,,,1.795565022877536,,,23.390453492846937,,
CROSS,R0_true,80.0,80,obs_var,100.0,0.6908424228448755,,,2.1492458489565798,,,9.108751954652814,,
CROSS,R0_true,80.0,80,obs_var,2500.0,0.11614342185805748,,,1.9561896548334947,,,0.8445197518522329,,
CROSS,R0_true,80.0,80,obs_var,10000.0,0.032666129694141066,,,1.934239607250759,,,6.719518459445116,,
CROSS,R0_true,100.0,100,obs_var,1.0,1.487043098610049,,,1.873794617817061,,,57.803309683447445,,
CROSS,R0_true,100.0,100,obs_var,100.0,0.16908991166947285,,,2.137174804427768,,,3.7545104563616913,,
CROSS,R0_true,100.0,100,obs_var,2500.0,0.0053941080659611895,,,2.3247140464721916,,,5.7333889719220466,,
CROSS,R0_true,100.0,100,obs_var,10000.0,0.31244992563967333,,,2.1526067052117286,,,1.4241993835399527,,
CROSS,R0_true,120.0,120,obs_var,1.0,1.3243658292983427,,,1.8050473022380131,,,44.72804179449582,,
